,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
76,0.517,0.109,104.015,0.0283,0.115,1.83e-06,0.755,413425,-9.557,0.292,4g9VvOS1WpFp2FZVSzvIZA,Relaxing
77,0.65,0.228,94.988,0.0349,0.573,2.97e-05,0.483,276400,-6.752,0.637,1zAkNzJZVPrWDCnowb1vpZ,Relaxing
78,0.382,0.0825,119.958,0.0278,0.475,4.26e-06,0.664,237710,-12.704,0.5,1riuaTAbDk8tFOshvhnZcJ,Relaxing
79,0.564,0.11,149.883,0.0298,0.00967,6.5e-05,0.476,284800,-7.844,0.267,0UNQKpB23MBL2D2cjyIlE8,Relaxing
80,0.743,0.142,85.04,0.0341,0.0948,0.0,0.598,273151,-5.112,0.468,5z7IJoDX9iOavWOS1Y8zOy,Relaxing
81,0.759,0.207,141.126,0.0336,0.245,2.84e-05,0.609,356942,-9.422,0.802,6vZj02bcQqLTYRAi4jRkw7,Relaxing
82,0.695,0.113,127.992,0.0312,0.522,0.000621,0.729,256946,-8.524,0.599,45THyhjDbYhNU7bDrTTUK6,Relaxing
83,0.546,0.108,115.048,0.0262,0.463,0.0,0.642,281703,-7.325,0.531,5VEnmqF8C1JghYA2rORu76,Relaxing
84,0.439,0.11,169.878,0.0273,0.216,0.0,0.44,277948,-8.288,0.392,1Kahww4mHXIHEgLbaVUkIM,Relaxing
85,0.901,0.0577,133.039,0.0308,0.231,0.0254,0.731,251973,-5.881,0.944,1QuZBM0iHDlr1oRVyeZypC,Relaxing
86,0.493,0.111,120.019,0.0325,0.163,0.000796,0.642,296760,-9.618,0.281,3KmqCi6VD4IkonTDO1LRge,Relaxing
87,0.613,0.113,157.98,0.0431,0.0947,0.00619,0.569,301951,-9.959,0.302,7JEvkDd5QsVH4qZO4Q2gNO,Relaxing
88,0.779,0.112,149.948,0.0392,0.214,9.34e-06,0.63,240169,-4.944,0.619,6OcZhL1AbSmtC0OtlT8zmq,Relaxing
89,0.733,0.114,79.982,0.0697,0.693,0.000174,0.761,323406,-6.01,0.663,75sjXeV1gvbSUhptK16P9u,Relaxing
90,0.532,0.0889,140.175,0.0306,0.768,5.37e-05,0.506,311429,-6.494,0.456,0FTPiuMAGuvXVjeXh7g8ot,Relaxing
91,0.254,0.321,178.92,0.0382,0.753,0.0,0.508,146912,-10.467,0.634,6WLutXofgOYNEOhsPGoT5P,Relaxing
